dataset,kernel,w_tilde
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.61765831 -0.64202308 -0.64271666 -0.81709691 -0.81709691]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.44396489 -0.47556234 -0.48279668 -0.7594251  -0.7594251 ]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.05322991 -0.07722698 -0.11796504 -0.77507945 -0.77507945]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.7103652  -0.68022639 -0.68501057 -0.77693876 -0.77693876]
digg,"ExponentialPseudo(0.0, 0.05)",[-5.98033009]
digg,"ExponentialPseudo(0.0, 0.5)",[-7.48658904]
digg,"ExponentialPseudo(0.0, 0.05)",[4.47840234]
digg,"ExponentialPseudo(0.0, 0.05)",[4.47840234 4.47840234 4.47840234 4.47840234 4.47840234]
digg,"ExponentialPseudo(0.0, 0.05)",[4.47840234 4.47840234 4.47840234 4.47840234 4.47840234]
lastfm,"PowerLaw(0.0, 0.5)",[-0.80880499]
digg,"ExponentialPseudo(0.0, 0.005)","[ 2.08109428e-01  3.40124750e-03 -3.39685462e-04  1.76999517e-04
 -2.63635884e-02]"
synthetic,"ExponentialPseudo(0.0, 0.05)",[-1.41777023 -1.34369249 -1.33048565 -0.95833773 -0.9569006 ]
memes,"ExponentialPseudo(0.0, 0.05)",[-0.30078116  2.23030989  1.04751682  0.96766256 -1.00612483]
digg,"PowerLaw(0.0, 0.5)",[ 0.0812709   0.5411273   0.29142879  0.22240978 -0.03209318]
synthetic,"ExponentialPseudo(0.0, 0.05)",[-0.70432627 -0.66736966 -0.76753203 -0.88274367 -0.85324861]
digg,"ExponentialPseudo(0.0, 0.5)",[ 6.34847048 91.4621964  21.82020757 27.74339101 38.39448573]
memes,"ExponentialPseudo(0.0, 0.5)",[ 0.15593723  0.49101067  0.60657733  0.69096275 -0.09243623]
lastfm,"PowerLaw(0.0, 0.5)",[0.05603821]
lastfm,"PowerLaw(0.0, 0.05)",[0.13407996]
irvine,"PowerLaw(0.0, 0.5)",[-1.58486704]
lastfm,"PowerLaw(0.0, 0.5)",[0.37273485]
irvine,"PowerLaw(0.0, 0.5)",[-1.66971114]
lastfm,"PowerLaw(0.0, 1.0)",[18.11129044]
irvine,"PowerLaw(0.0, 0.5)",[-0.17640762]
